Slot,Folder,File name pattern,Aspect ratio,Sizes (px wide),Role,Current source,Alt text,Used on,Custom image prompt
"p:banner-printing-dubai:application","website/assets/images/products/banner-printing-dubai/","banner-printing-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Printed mesh banner fixed along a construction site fence beside a city road","/banner-printing-dubai/","Realistic commercial photograph of a long printed mesh banner cable-tied along a temporary construction site fence on a Dubai street, cranes and a building under construction behind, clear blue sky, wide three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"p:banner-printing-dubai:production","website/assets/images/products/banner-printing-dubai/","banner-printing-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:large-format-printer)","Wide-format inkjet printer printing a large graphic onto roll media","/banner-printing-dubai/","Photorealistic commercial photograph of banners production: Wide-format inkjet printer printing a large graphic onto roll media. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:office-signage-dubai:hero","website/assets/images/products/office-signage-dubai/","office-signage-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Modern office corridor with matching acrylic room signs, frosted glass and logo wall","/office-signage-dubai/","Realistic commercial photograph of a modern Dubai office corridor with matching grey acrylic room signs, frosted glass meeting rooms with cut-out logo bands and a logo wall at the far end, clean daylight, one-point perspective, fictional brand name, no real logos, no Flash Print Solution branding"
"p:office-signage-dubai:detail","website/assets/images/products/office-signage-dubai/","office-signage-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Close-up of a grey acrylic meeting room sign with white lettering and pictogram","/office-signage-dubai/","Close-up product photograph of a matt grey acrylic meeting room sign with white room name, number and a small pictogram, mounted on a white wall beside a door frame, soft even lighting, straight-on view, fictional brand name, no real logos, no Flash Print Solution branding"
"p:office-signage-dubai:application","website/assets/images/products/office-signage-dubai/","office-signage-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Office manager reviewing a signage floor plan beside a frosted glass meeting room","/office-signage-dubai/","Realistic photograph of an office manager and a signage consultant reviewing a printed floor plan with numbered sign locations on a table beside a frosted glass meeting room in a Dubai office, natural light, candid three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding"
"p:office-signage-dubai:production","website/assets/images/products/office-signage-dubai/","office-signage-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:design-studio)","Designer preparing print artwork on a large monitor with colour swatches nearby","/office-signage-dubai/","Photorealistic commercial photograph of office signage production: Designer preparing print artwork on a large monitor with colour swatches nearby. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"p:shop-signage-dubai:hero","website/assets/images/products/shop-signage-dubai/","shop-signage-dubai-hero-{width}.webp","4:3","640 + 1200","hero","temporary stock (Unsplash)","Modern boutique storefront with illuminated fascia letters and branded window graphics","/shop-signage-dubai/","Realistic commercial photograph of a modern boutique storefront in a Dubai shopping street at early evening, lit 3D fascia letters on a dark ACP band, small projecting light box, frosted window band with opening hours, warm interior glow, straight-on view, fictional brand name, no real logos, no Flash Print Solution branding."
"p:shop-signage-dubai:detail","website/assets/images/products/shop-signage-dubai/","shop-signage-dubai-detail-{width}.webp","4:3","640 + 1200","detail","temporary stock (Unsplash)","Opening hours and frosted privacy band vinyl applied to a shop glass door","/shop-signage-dubai/","Close-up commercial photograph of a shop glass door with white cut-vinyl opening hours in English and Arabic and a frosted privacy band at eye level, reflections of the street softly visible, daylight, fictional brand name, no real logos, no Flash Print Solution branding."
"p:shop-signage-dubai:application","website/assets/images/products/shop-signage-dubai/","shop-signage-dubai-application-{width}.webp","4:3","640 + 1200","application","temporary stock (Unsplash)","Installer on a ladder fitting fascia letters above a mall shop unit","/shop-signage-dubai/","Realistic commercial photograph of an installer on a stepladder fitting individual fascia letters above a shop unit in a quiet Dubai shopping mall before opening hours, protective sheeting on the floor, bright even mall lighting, three-quarter view, fictional brand name, no real logos, no Flash Print Solution branding."
"p:shop-signage-dubai:production","website/assets/images/products/shop-signage-dubai/","shop-signage-dubai-production-{width}.webp","4:3","640 + 1200","production","temporary stock — shared production photo (pool:sign-installation)","Installation team fixing a sign board on a building facade using ladders/lift","/shop-signage-dubai/","Photorealistic commercial photograph of shop signage production: Installation team fixing a sign board on a building facade using ladders/lift. Clean, well-lit Dubai print workshop, 4:3 landscape. Fictional brand names only, no real logos, no Flash Print Solution branding."
"svc:printing-services-dubai","website/assets/images/services/","printing-services-dubai-hero-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Print finishing table with stacks of trimmed brochures, business cards and rolled banners","/printing-services-dubai/","Realistic commercial photograph of a tidy print production area in a Dubai workshop, stacks of trimmed brochures and business cards on a finishing table, rolled banners and acrylic sign panels in the background, soft overhead daylight, eye-level three-quarter angle, fictional brand name, no real logos, no Flash Print Solution branding."
"svc:printing-services-dubai:2","website/assets/images/services/","printing-services-dubai-secondary-{width}.webp","4:5","640 + 1000","","temporary stock (Unsplash)","Hands holding a printed colour proof beside an open swatch fan under a desk lamp","/printing-services-dubai/","Realistic editorial portrait-format photograph of a print specialist's hands holding a colour proof next to an open swatch fan under a daylight-balanced lamp, printed sheets on a light grey desk, shallow depth of field, calm studio lighting, fictional brand name, no real logos, no Flash Print Solution branding."
"svc:digital-printing-dubai","website/assets/images/services/","digital-printing-dubai-hero-{width}.webp","4:3","640 + 1200","","temporary stock (Unsplash)","Freshly printed full-colour flyers stacking at the output tray of a digital press","/digital-printing-dubai/","Realistic commercial photograph of freshly printed full-colour A5 flyers stacking at the output tray of an unbranded production digital press in a clean print room, crisp saturated colours, soft cool lighting, close three-quarter angle with shallow depth of field, fictional brand name, no real logos, no Flash Print Solution branding."
